model,dataset,phase,n_ecosystems,rank_by_counters,rank_by_codecarbon,identical
resnet18,cifar100,Inference,7,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/JAX < Python/PyTorch < Java/DL4J < R/torch,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/JAX < Python/PyTorch < Java/DL4J < R/torch,True
resnet18,cifar100,Training,7,Cpp/LibTorch < Python/JAX < Python/PyTorch < Rust/tch < Python/TensorFlow < Java/DL4J < R/torch,Cpp/LibTorch < Python/JAX < Python/PyTorch < Rust/tch < Python/TensorFlow < Java/DL4J < R/torch,True
resnet18,fashionmnist,Inference,7,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/JAX < Python/PyTorch < Java/DL4J < R/torch,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/JAX < Python/PyTorch < Java/DL4J < R/torch,True
resnet18,fashionmnist,Training,7,Cpp/LibTorch < Python/JAX < Rust/tch < Python/PyTorch < Python/TensorFlow < Java/DL4J < R/torch,Cpp/LibTorch < Python/JAX < Rust/tch < Python/PyTorch < Python/TensorFlow < Java/DL4J < R/torch,True
resnet18,tinyimagenet,Inference,7,Cpp/LibTorch < Python/TensorFlow < Python/JAX < Rust/tch < Python/PyTorch < Java/DL4J < R/torch,Cpp/LibTorch < Python/TensorFlow < Python/JAX < Rust/tch < Python/PyTorch < Java/DL4J < R/torch,True
resnet18,tinyimagenet,Training,7,Cpp/LibTorch < Python/JAX < Python/PyTorch < Python/TensorFlow < Rust/tch < Java/DL4J < R/torch,Cpp/LibTorch < Python/JAX < Python/PyTorch < Python/TensorFlow < Rust/tch < Java/DL4J < R/torch,True
vgg16,cifar100,Inference,7,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/PyTorch < Python/JAX < R/torch < Java/DL4J,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/PyTorch < Python/JAX < R/torch < Java/DL4J,True
vgg16,cifar100,Training,7,Python/TensorFlow < Python/JAX < Cpp/LibTorch < Python/PyTorch < Rust/tch < R/torch < Java/DL4J,Python/TensorFlow < Python/JAX < Python/PyTorch < Cpp/LibTorch < Rust/tch < R/torch < Java/DL4J,False
vgg16,fashionmnist,Inference,7,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/PyTorch < Python/JAX < R/torch < Java/DL4J,Cpp/LibTorch < Rust/tch < Python/TensorFlow < Python/PyTorch < Python/JAX < R/torch < Java/DL4J,True
vgg16,fashionmnist,Training,7,Python/TensorFlow < Python/JAX < Cpp/LibTorch < Python/PyTorch < Rust/tch < R/torch < Java/DL4J,Python/TensorFlow < Python/JAX < Python/PyTorch < Cpp/LibTorch < Rust/tch < R/torch < Java/DL4J,False
vgg16,tinyimagenet,Inference,7,Cpp/LibTorch < Python/TensorFlow < Rust/tch < Python/JAX < Python/PyTorch < R/torch < Java/DL4J,Cpp/LibTorch < Python/TensorFlow < Rust/tch < Python/JAX < Python/PyTorch < R/torch < Java/DL4J,True
vgg16,tinyimagenet,Training,7,Python/JAX < Python/TensorFlow < Cpp/LibTorch < Python/PyTorch < Rust/tch < R/torch < Java/DL4J,Python/JAX < Python/TensorFlow < Python/PyTorch < Cpp/LibTorch < Rust/tch < R/torch < Java/DL4J,False
