timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-09-21T12:34:46,codecarbon,4a1439bb-8281-4d80-99ac-00c63d167602,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.4103349586948752,8.367586632633657e-05,2.453596709408248e-05,37.00517104600001,176.10979570709998,70.0,2.986537595149852e-05,0.0001666729111136,5.64744498477214e-05,0.0002530127369128,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:35:30,codecarbon,269dfd0a-768d-4975-a5a7-edfe61ffaa0f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.05800743913278,7.670204277342457e-05,2.508235977188352e-05,37.000766344,183.8935303340536,70.0,2.624295622000151e-05,0.0001560509581679,4.963190390262753e-05,0.0002319258182905,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:36:11,codecarbon,66c406fa-c547-4d77-bb1c-318a5fdd9e8c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.021939333993941,7.657449626686755e-05,2.5339521348253867e-05,37.00102897,186.911380288792,70.0,2.5871565390519898e-05,0.0001567398476112,4.892873983804344e-05,0.0002315401528397,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:36:53,codecarbon,f670d35b-0edc-4cde-a656-ab49deefa6bf,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.0447841538116336,7.653613485464493e-05,2.513680149012621e-05,37.00076734300001,184.7020142659479,70.0,2.6091864850838936e-05,0.00015597873589,4.935355777076136e-05,0.0002314241585116,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:37:35,codecarbon,aaf5ab76-14e3-4813-a0ab-7ef423ea775f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.970913473051042,9.60585567061458e-05,2.419054390332496e-05,37.002422575,170.06534870292012,70.0,3.5627804551491594e-05,0.0001874479277361,6.737884443977641e-05,0.0002904545767274,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:38:17,codecarbon,d926c466-180a-4568-b140-0db160249ff6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.9985588677227497,9.64751208823825e-05,2.412747294060142e-05,37.00336762900001,169.5796201536755,70.0,3.5868776206403666e-05,0.0001880118170731,6.783355860324162e-05,0.0002917141518828,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:39:00,codecarbon,e460ce42-0f00-49ae-9c31-7e2789270777,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.9799939170479774,9.669033466330468e-05,2.4294091066104288e-05,37.003922185,171.16328740638355,70.0,3.572205740297479e-05,0.0001890851512698,6.755769031458638e-05,0.0002923648989873,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:39:43,codecarbon,f9b3af7c-294e-4573-80dc-f3e144e814be,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.969059347640723,9.649046521650114e-05,2.4310663249179363e-05,37.00659817300001,171.38293809474075,70.0,3.561023850998196e-05,0.00018880737327,6.734293713622417e-05,0.0002917605489163,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:40:25,codecarbon,35a3858d-4515-44fd-811b-65a0a4a5a8f1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.765207995660603,9.268389030751388e-05,2.461587524894559e-05,37.014650335000006,175.4628201767281,70.0,3.3520004779466784e-05,0.000183356813352,6.337369834331589e-05,0.0002802505164748,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
2025-09-21T12:41:07,codecarbon,e4fc042d-5e87-4dc4-b6b0-32b4d7c336be,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.160445304121822,8.082055378226363e-05,2.557252095989709e-05,37.001683093,188.97836431958285,70.0,2.7261054873479897e-05,0.000165557910229,5.156009434463664e-05,0.0002443790594472,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0
